ft,nimi,vuosi,kustantaja,kirjailija,alkukieli,tyyppi
http://seco.tkk.fi/saha3/ub2e68353-be98-4fe0-8513-21416530ad6c,"Bert, maailmanvalloittaja",2000,Otava,"Olsson, Sören",swe,romaanit
http://seco.tkk.fi/saha3/uc8466da8-fe35-4aa5-a080-de9897d0cf15,Bestikset leirikoulussa,2000,WSOY,"Manninen, Katri",fin,romaanit
http://seco.tkk.fi/saha3/ub7eba12b-6fd4-48a7-942e-fa624951968d,Blue Time,2000,Stabenfeldt,"Jones, Eleanor",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317592783402,Bridget Jones - elämä jatkuu,2000,Otava,"Fielding, Helen",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175925864214,Bäng!,2000,WSOY,"Vuorio, Hannu",fin,romaanit
http://seco.tkk.fi/saha3/u43c1723f-9af3-4c98-8c80-36da2f3a7404,Chéri,2000,Gummerus,Colette,fra,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175929175663,City Cafe Europe,2000,Kesuura,"Stephany, Olli",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175929357277,Corpus Christin tappajat,2000,Seaflower,"Montauban, Juan Batiste",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123272665288338,Cortezin kotkat,2000,Seaflower,"Montauban, Juan Batiste",fin,romaanit
http://seco.tkk.fi/saha3/uf41c7783-6b03-4845-80d6-dbca563ad212,Delirium cocktail bar,2000,Kopijyvä,"Turunen, Petri",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175930850116,Desanttina Kannaksella,2000,Memor,"Herttua, Kaarlo",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175930908025,Deserton pyörre,2000,Like,"Ehrnrooth, Jari",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175931365497,Diiva,2000,Otava,"Fagerholm, Monika",swe,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317593168947,Dona Penelopen pulmat,2000,Seaflower,"Montauban, Juan Batiste",spa,romaanit
http://data.kirjasampo.fi/physicalWork_9513565572,Dooris yllättyy,2000,Weilin + Göös,"Sykes, Julie",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175932104576,Dorsai!,2000,Book Studio,"Dickson, Gordon R.",eng,romaanit
